ImageNumber,ObjectNumber,Intensity_IntegratedIntensityEdge_GFP,Intensity_IntegratedIntensityEdge_Tubulin,Intensity_IntegratedIntensity_GFP,Intensity_IntegratedIntensity_Tubulin,Intensity_LowerQuartileIntensity_GFP,Intensity_LowerQuartileIntensity_Tubulin,Intensity_MADIntensity_GFP,Intensity_MADIntensity_Tubulin,Intensity_MassDisplacement_GFP,Intensity_MassDisplacement_Tubulin,Intensity_MaxIntensityEdge_GFP,Intensity_MaxIntensityEdge_Tubulin,Intensity_MaxIntensity_GFP,Intensity_MaxIntensity_Tubulin,Intensity_MeanIntensityEdge_GFP,Intensity_MeanIntensityEdge_Tubulin,Intensity_MeanIntensity_GFP,Intensity_MeanIntensity_Tubulin,Intensity_MedianIntensity_GFP,Intensity_MedianIntensity_Tubulin,Intensity_MinIntensityEdge_GFP,Intensity_MinIntensityEdge_Tubulin,Intensity_MinIntensity_GFP,Intensity_MinIntensity_Tubulin,Intensity_StdIntensityEdge_GFP,Intensity_StdIntensityEdge_Tubulin,Intensity_StdIntensity_GFP,Intensity_StdIntensity_Tubulin,Intensity_UpperQuartileIntensity_GFP,Intensity_UpperQuartileIntensity_Tubulin
3,8,1.8865033946931362,8.991104114800692,20.305485613644123,157.88595573231578,0.01733424887061119,0.10583657771348953,0.0012207217514514923,0.04296940565109253,0.037245473898502,2.3692292097055847,0.023193713277578354,0.22900740802288055,0.025879301130771637,0.2849164605140686,0.017966698997077486,0.08562956299810183,0.018560772955799016,0.14431988640979504,0.018554970622062683,0.14868390560150146,0.01416037231683731,0.02710002288222313,0.012939650565385818,0.02710002288222313,0.0016967410014398598,0.0557251848263356,0.0019100741286967025,0.06309430735785543,0.019775692373514175,0.1918974667787552
3,9,2.2319676503539085,13.062211152166128,27.94207674637437,190.7829430140555,0.01757839322090149,0.09179827570915222,0.0012207217514514923,0.026123441755771637,0.16438036935340453,3.4500916917714664,0.022949568927288055,0.31177234649658203,0.02563515678048134,0.3689021170139313,0.0184460136392885,0.1079521582823647,0.018879781585388087,0.12890739392841588,0.01879911497235298,0.11523613333702087,0.013672083616256714,0.032715342938899994,0.012939650565385818,0.032715342938899994,0.0017297679336224735,0.06678343330059722,0.0019328561910940461,0.05795360039700236,0.020019836723804474,0.14795148372650146
3,10,1.8064240477979183,10.55729017779231,17.77566185593605,109.47164306417108,0.016357671469449997,0.08667124807834625,0.0012207217514514923,0.016357675194740295,0.15944624717191533,0.8123551343086961,0.021484702825546265,0.18457312881946564,0.024414435029029846,0.1926298886537552,0.017710039684293317,0.10350284488031677,0.017461357422334036,0.10753599515144506,0.01757839322090149,0.10131990909576416,0.013427939265966415,0.06030365452170372,0.012207217514514923,0.06030365452170372,0.0016937850174018713,0.031692310932181465,0.0018595694516719227,0.027522893742447867,0.01879911497235298,0.12170596048235893
3,11,4.629221059381962,5.714198581874371,33.662134915590286,46.79002106562257,0.027710383757948875,0.03930724039673805,0.009277485311031342,0.014892805367708206,2.5965163624134764,2.018686682804292,0.13379110395908356,0.1599145531654358,0.13379110395908356,0.1599145531654358,0.046759808680625875,0.05771917759469061,0.04155819125381517,0.05776545810570687,0.037109941244125366,0.05420004576444626,0.015136949717998505,0.02368200197815895,0.015136949717998505,0.023193713277578354,0.03519008654216585,0.04072058958668724,0.020778761460696914,0.025216938501970508,0.04614328220486641,0.06884870678186417
3,12,1.8154573887586594,12.161074433475733,15.752193480730057,102.93858393654227,0.01757839322090149,0.09326314181089401,0.0014648661017417908,0.027344167232513428,0.14851106612829207,0.5347560613109829,0.024902723729610443,0.2541542649269104,0.026123445481061935,0.2541542649269104,0.018525075395496523,0.12409259625995646,0.01888752215914875,0.1234275586769092,0.01879911497235298,0.11645685881376266,0.013916227966547012,0.05200274661183357,0.013672083616256714,0.05200274661183357,0.002175116002513069,0.05175272407899466,0.001963858797084666,0.038021022408552485,0.020263981074094772,0.15210193395614624
3,13,4.910719510167837,5.387777559459209,47.5822696313262,44.91255096718669,0.04443427175283432,0.04419012740254402,0.01416037604212761,0.010742351412773132,2.224336080640063,1.6291402027249537,0.1264667809009552,0.16308842599391937,0.13769741356372833,0.16308842599391937,0.05224169691667912,0.0573167825474384,0.06069167044812015,0.057286417049983024,0.05737392231822014,0.05395590141415596,0.020996414124965668,0.024658579379320145,0.020996414124965668,0.02221713587641716,0.0361382426421009,0.03924966201466637,0.02441148308016074,0.021761919875018423,0.07348745316267014,0.06494239717721939
3,14,1.763698786497116,11.158129330724478,15.480216674506664,129.78054597973824,0.01733424887061119,0.0950331911444664,0.0014648661017417908,0.04846265912055969,0.20202623766026412,2.036957791371089,0.023193713277578354,0.2695353627204895,0.024414435029029846,0.2978561222553253,0.017996926392827715,0.11385846255841303,0.018855318726561102,0.15807618267934012,0.01879911497235298,0.17175555229187012,0.013427939265966415,0.03320363163948059,0.012207217514514923,0.0322270542383194,0.0018626163006930873,0.07042777026709525,0.0020733061147900213,0.06750267878805159,0.020263981074094772,0.21045243740081787
3,15,1.9595025554299355,5.816250894218683,21.132890816777945,72.61634334921837,0.017090104520320892,0.05444419011473656,0.0012207217514514923,0.00781261920928955,0.03057078042105833,0.7473662844048047,0.021484702825546265,0.07275501638650894,0.024170290678739548,0.10351720452308655,0.01797708766449482,0.0533600999469604,0.018312730343828375,0.06292577413277155,0.018310826271772385,0.061036087572574615,0.013427939265966415,0.03466849774122238,0.012939650565385818,0.03466849774122238,0.0017467232786080717,0.009056070523497375,0.001870412056283937,0.011505201019869842,0.019531548023223877,0.07104600965976715
3,16,1.9404592961072922,8.883680533617735,20.075501635670662,130.0249346382916,0.017822537571191788,0.08667124807834625,0.0012207217514514923,0.03466850519180298,0.18481482344530872,2.486144437914522,0.024902723729610443,0.2077668458223343,0.02539101243019104,0.2702677845954895,0.018480564724831353,0.08460648127254985,0.019083176459762985,0.12359784661434563,0.01904325932264328,0.125978484749794,0.013916227966547012,0.030762188136577606,0.013427939265966415,0.030762188136577606,0.0019751561210936174,0.06063759975130111,0.002003276632464191,0.04918265895836601,0.020263981074094772,0.1586938351392746
3,17,2.2195162884891033,12.912306539714336,25.19496451690793,198.16782098263502,0.01824979018419981,0.12085145711898804,0.0012207217514514923,0.026855871081352234,0.18285442457076995,2.432242553779767,0.02368200197815895,0.2739299535751343,0.025879301130771637,0.4880445599555969,0.018651397382261372,0.10850677764465828,0.019576507006144467,0.1539765508800583,0.019775692373514175,0.1411154419183731,0.013183794915676117,0.03930724039673805,0.012939650565385818,0.038818951696157455,0.002005343152045348,0.07174064661282172,0.0019741855385323787,0.07176827303722456,0.02075226977467537,0.1743801087141037
3,18,2.2034027613699436,12.019226536154747,24.0809338465333,207.54076644033194,0.018554970622062683,0.10449378192424774,0.0014648661017417908,0.043701834976673126,0.060882468885397015,0.6244926176315834,0.02514686807990074,0.26392003893852234,0.02710002288222313,0.5573815703392029,0.019160024011912552,0.10451501335786736,0.019868757299119882,0.17123825613888774,0.019775692373514175,0.14062714576721191,0.01440451666712761,0.046875715255737305,0.013427939265966415,0.046875715255737305,0.0021960834789765305,0.05780320352844182,0.0020574824174306363,0.09944471129279091,0.021240558475255966,0.20898756384849548
3,19,5.22395671531558,7.378042321652174,37.858488105237484,109.64181122556329,0.020019836723804474,0.07666132599115372,0.004150453954935074,0.03442435711622238,4.532508045182615,1.076460291940168,0.1879911571741104,0.17016860842704773,0.1879911571741104,0.19971008598804474,0.047926208397390646,0.06768846166653371,0.03789638448972721,0.10975156278835164,0.023193713277578354,0.1115739718079567,0.0156252384185791,0.031006332486867905,0.013183794915676117,0.031006332486867905,0.040981579242576595,0.03904663246041385,0.03212744968968869,0.04236335727681457,0.03808651864528656,0.14575417339801788
3,20,1.9324025325477123,9.934966128319502,19.8128023147583,109.90573151782155,0.01757839322090149,0.08569467067718506,0.0012207217514514923,0.014648661017417908,0.08791409184459624,1.127644398046037,0.024658579379320145,0.221927210688591,0.024658579379320145,0.221927210688591,0.01858079358218954,0.09552852046461059,0.018762123404127178,0.10407739727066434,0.01879911497235298,0.10034333169460297,0.013916227966547012,0.04126039519906044,0.01269550621509552,0.04126039519906044,0.001975596976399413,0.050251308185971046,0.001946753985605135,0.030383634354112732,0.020019836723804474,0.11499199271202087
3,21,8.15783941745758,7.217395376414061,134.29990295693278,75.89398124068975,0.08349736779928207,0.04882887005805969,0.02661173790693283,0.010254062712192535,1.3909356022392847,2.5843948924284392,0.17822538316249847,0.16943618655204773,0.2082551270723343,0.16943618655204773,0.06913423235133542,0.06116436759672933,0.10927575505039283,0.06175262916248149,0.10669108480215073,0.05859464406967163,0.027344167232513428,0.02392614632844925,0.02710002288222313,0.02392614632844925,0.03459726757653382,0.037216367780962815,0.03927082308653322,0.022102973532753204,0.13842985033988953,0.06952010653913021
3,22,2.122835125774145,10.912031795829535,20.977615009993315,106.91398626565933,0.01733424887061119,0.062989242374897,0.0012207217514514923,0.026611734181642532,0.11630808069034426,3.1286500216346975,0.023437857627868652,0.22534523904323578,0.02539101243019104,0.22534523904323578,0.01862136075240478,0.09571957715639942,0.018663358549816118,0.09511920486268624,0.018554970622062683,0.08740367740392685,0.01416037231683731,0.02539101243019104,0.01269550621509552,0.02539101243019104,0.0018616763528309778,0.06057768196862346,0.0019326493373819404,0.04289543228860053,0.019775692373514175,0.12158388644456863
3,23,2.124299991875887,11.008957143872976,22.558449678122997,121.56313617900014,0.01757839322090149,0.07666132599115372,0.0012207217514514923,0.01416037231683731,0.15583686652711895,2.6713295105606822,0.022949568927288055,0.24707408249378204,0.02563515678048134,0.2683146297931671,0.018472173842399017,0.09573006212063458,0.0188615799984306,0.10164141820986634,0.01879911497235298,0.09008926898241043,0.013916227966547012,0.03662165254354477,0.01269550621509552,0.03662165254354477,0.0018495338653534118,0.060723106433009516,0.001858888350498344,0.04418650951029372,0.020019836723804474,0.10620279610157013
3,24,2.2917830161750317,11.585870284587145,31.536614015698433,172.92500492557883,0.016601815819740295,0.08520638197660446,0.0012207217514514923,0.012451358139514923,0.15685516533290528,1.55881187274568,0.02221713587641716,0.1445334553718567,0.024170290678739548,0.1738307774066925,0.01762910012442332,0.0891220791122088,0.017898191836378224,0.09814131948103226,0.017822537571191788,0.0961928740143776,0.01269550621509552,0.04394598305225372,0.011718928813934326,0.04394598305225372,0.0017609916319405645,0.027316878707211237,0.0019141661192265326,0.019718558197101284,0.01928740367293358,0.1108415350317955
